,hors,ws,wd,anno,mes,wp1
4,5,2.93,120.13,2009,7,0.035
5,6,2.96,115.79,2009,7,0.005
6,7,2.81,106.71,2009,7,0.0
7,8,2.73,95.39,2009,7,0.0
8,9,2.87,88.5,2009,7,0.01
9,10,3.23,90.19,2009,7,0.025
10,11,3.66,95.15,2009,7,0.03
11,12,3.94,98.71,2009,7,0.01
52,5,3.17,92.38,2009,7,0.035
53,6,2.88,90.73,2009,7,0.005
54,7,2.46,94.09,2009,7,0.0
55,8,2.01,102.78,2009,7,0.0
56,9,1.67,114.58,2009,7,0.01
57,10,1.44,124.63,2009,7,0.025
58,11,1.22,135.16,2009,7,0.03
59,12,1.04,155.24,2009,7,0.01
100,5,0.81,223.94,2009,7,0.0
101,6,0.68,246.61,2009,7,0.0
102,7,0.49,231.76,2009,7,0.0
103,8,0.57,184.5,2009,7,0.0
104,9,0.88,172.7,2009,7,0.015
105,10,1.08,185.05,2009,7,0.03
106,11,1.28,199.95,2009,7,0.01
107,12,1.44,203.82,2009,7,0.0
148,5,2.63,156.03,2009,7,0.0
149,6,2.76,153.58,2009,7,0.0
150,7,3.04,149.37,2009,7,0.0
151,8,3.39,144.51,2009,7,0.0
152,9,3.69,139.6,2009,7,0.015
153,10,3.85,134.69,2009,7,0.03
154,11,3.83,130.17,2009,7,0.01
155,12,3.62,126.63,2009,7,0.0
196,5,3.41,113.51,2009,7,0.065
197,6,3.63,109.2,2009,7,0.14
198,7,3.72,106.16,2009,7,0.08
199,8,3.77,104.81,2009,7,0.055
200,9,3.95,105.91,2009,7,0.025
201,10,4.35,109.48,2009,7,0.04
202,11,4.87,114.04,2009,7,0.1
203,12,5.37,118.64,2009,7,0.175
244,5,7.26,126.24,2009,7,0.065
245,6,7.62,122.86,2009,7,0.14
246,7,7.67,119.83,2009,7,0.08
247,8,7.52,117.26,2009,7,0.055
248,9,7.35,115.55,2009,7,0.025
249,10,7.28,115.09,2009,7,0.04
250,11,7.17,115.46,2009,7,0.1
251,12,6.81,116.0,2009,7,0.175
292,5,4.06,115.24,2009,7,0.622
293,6,3.7,115.13,2009,7,0.406
294,7,3.4,117.07,2009,7,0.19
295,8,3.28,120.38,2009,7,0.11
296,9,3.52,122.89,2009,7,0.075
297,10,4.17,123.15,2009,7,0.135
298,11,5.05,122.74,2009,7,0.11
299,12,5.88,123.03,2009,7,0.201
340,5,6.09,135.15,2009,7,0.622
341,6,6.02,135.02,2009,7,0.406
342,7,6.21,133.05,2009,7,0.19
343,8,6.36,130.23,2009,7,0.11
344,9,6.07,127.34,2009,7,0.075
345,10,5.1,124.22,2009,7,0.135
346,11,3.86,119.72,2009,7,0.11
347,12,2.95,113.22,2009,7,0.201
388,5,3.24,96.8,2009,7,0.14
389,6,3.34,95.47,2009,7,0.21600000000000003
390,7,3.41,95.41,2009,7,0.281
391,8,3.44,95.31,2009,7,0.20600000000000002
392,9,3.43,93.59,2009,7,0.185
393,10,3.41,89.44,2009,7,0.24600000000000002
394,11,3.41,85.52,2009,7,0.266
395,12,3.45,85.48,2009,7,0.165
436,5,4.09,109.68,2009,7,0.14
437,6,4.1,111.21,2009,7,0.21600000000000003
438,7,4.2,108.12,2009,7,0.281
439,8,4.29,103.66,2009,7,0.20600000000000002
440,9,4.18,101.39,2009,7,0.185
441,10,3.72,103.82,2009,7,0.24600000000000002
442,11,3.14,109.42,2009,7,0.266
443,12,2.73,112.95,2009,7,0.165
484,5,2.77,134.25,2009,7,0.06
485,6,2.62,133.12,2009,7,0.05
486,7,2.4,116.54,2009,7,0.03
487,8,2.54,92.97,2009,7,0.0
488,9,2.94,79.63,2009,7,0.0
489,10,3.14,79.78,2009,7,0.04
490,11,3.23,87.43,2009,7,0.04
491,12,3.5,96.18,2009,7,0.09
532,5,6.45,108.67,2009,7,0.06
533,6,6.69,106.91,2009,7,0.05
534,7,6.84,103.9,2009,7,0.03
535,8,6.77,101.89,2009,7,0.0
536,9,6.3,103.77,2009,7,0.0
537,10,5.43,112.94,2009,7,0.04
538,11,4.58,128.26,2009,7,0.04
539,12,3.91,142.94,2009,7,0.09
580,5,2.17,108.21,2009,7,0.03
581,6,2.54,103.66,2009,7,0.02
582,7,3.11,100.05,2009,7,0.075
583,8,3.76,97.82,2009,7,0.105
584,9,4.39,96.98,2009,7,0.16
585,10,4.89,97.5,2009,7,0.18
586,11,5.24,99.69,2009,7,0.231
587,12,5.45,104.08,2009,7,0.306
628,5,7.0,115.89,2009,7,0.03
629,6,7.09,116.47,2009,7,0.02
630,7,7.24,117.13,2009,7,0.075
631,8,7.34,117.36,2009,7,0.105
632,9,7.27,116.48,2009,7,0.16
633,10,6.94,113.98,2009,7,0.18
634,11,6.39,110.44,2009,7,0.231
635,12,5.66,106.88,2009,7,0.306
676,5,4.05,107.51,2009,7,0.21600000000000003
677,6,3.67,110.92,2009,7,0.145
678,7,3.23,111.4,2009,7,0.1
679,8,2.89,110.88,2009,7,0.07
680,9,2.86,113.62,2009,7,0.06
681,10,3.29,121.35,2009,7,0.06
682,11,3.95,129.89,2009,7,0.045
683,12,4.49,137.99,2009,7,0.045
724,5,4.43,164.2,2009,7,0.21600000000000003
725,6,4.23,165.65,2009,7,0.145
726,7,4.12,167.72,2009,7,0.1
727,8,3.97,170.91,2009,7,0.07
728,9,3.67,176.13,2009,7,0.06
729,10,3.18,184.95,2009,7,0.06
730,11,2.74,196.08,2009,7,0.045
731,12,2.52,202.81,2009,7,0.045
772,5,2.21,179.99,2009,7,0.135
773,6,1.71,190.96,2009,7,0.185
774,7,1.2,225.51,2009,7,0.075
775,8,1.43,273.82,2009,7,0.005
776,9,2.01,295.0,2009,7,0.0
777,10,2.26,302.49,2009,7,0.0
778,11,2.19,304.94,2009,7,0.03
779,12,2.03,303.42,2009,7,0.03
820,5,2.98,295.74,2009,7,0.135
821,6,3.34,301.27,2009,7,0.185
822,7,3.8,308.02,2009,7,0.075
823,8,4.18,313.57,2009,7,0.005
824,9,4.21,316.81,2009,7,0.0
825,10,3.7,317.46,2009,7,0.0
826,11,2.95,316.97,2009,7,0.03
827,12,2.38,318.43,2009,7,0.03
868,5,3.28,346.7,2009,7,0.19
869,6,3.27,347.89,2009,7,0.165
870,7,3.17,348.48,2009,7,0.105
871,8,3.06,347.93,2009,7,0.09
872,9,3.04,345.5,2009,7,0.1
873,10,3.19,341.41,2009,7,0.095
874,11,3.42,338.04,2009,7,0.11
875,12,3.6,337.28,2009,7,0.11
916,5,4.87,28.99,2009,7,0.19
917,6,5.5,33.41,2009,7,0.165
918,7,5.87,34.56,2009,7,0.105
919,8,5.85,33.89,2009,7,0.09
920,9,5.36,32.41,2009,7,0.1
921,10,4.38,30.55,2009,7,0.095
922,11,3.28,27.85,2009,7,0.11
923,12,2.51,24.18,2009,7,0.11
964,5,3.72,32.2,2009,7,0.48100000000000004
965,6,3.8,36.29,2009,7,0.451
966,7,3.67,38.12,2009,7,0.466
967,8,3.51,41.31,2009,7,0.47600000000000003
968,9,3.59,50.07,2009,7,0.501
969,10,4.25,62.94,2009,7,0.42100000000000004
970,11,5.15,71.95,2009,7,0.251
971,12,5.6,75.59,2009,7,0.19
1012,5,7.2,88.81,2009,7,0.48100000000000004
1013,6,7.74,90.13,2009,7,0.451
1014,7,7.88,95.79,2009,7,0.466
1015,8,7.77,104.22,2009,7,0.47600000000000003
1016,9,7.51,113.19,2009,7,0.501
1017,10,7.06,120.85,2009,7,0.42100000000000004
1018,11,6.49,126.86,2009,7,0.251
1019,12,5.96,130.49,2009,7,0.19
1060,5,4.36,124.69,2009,7,0.5660000000000001
1061,6,3.74,122.32,2009,7,0.41100000000000003
1062,7,3.24,120.09,2009,7,0.29100000000000004
1063,8,2.97,117.8,2009,7,0.29100000000000004
1064,9,3.0,115.16,2009,7,0.391
1065,10,3.38,112.48,2009,7,0.446
1066,11,3.96,110.63,2009,7,0.496
1067,12,4.52,109.76,2009,7,0.276
1108,5,6.75,108.17,2009,7,0.5660000000000001
1109,6,6.96,104.57,2009,7,0.41100000000000003
1110,7,7.02,101.57,2009,7,0.29100000000000004
1111,8,6.81,100.11,2009,7,0.29100000000000004
1112,9,6.2,101.54,2009,7,0.391
1113,10,5.2,107.95,2009,7,0.446
1114,11,4.23,119.23,2009,7,0.496
1115,12,3.6,130.32,2009,7,0.276
1156,5,3.2,114.97,2009,7,0.306
1157,6,3.26,111.57,2009,7,0.336
1158,7,3.15,111.19,2009,7,0.29600000000000004
1159,8,3.07,111.11,2009,7,0.23600000000000002
1160,9,3.24,107.79,2009,7,0.201
1161,10,3.87,101.14,2009,7,0.29100000000000004
1162,11,4.78,96.67,2009,7,0.321
1163,12,5.62,96.55,2009,7,0.29100000000000004
1204,5,7.76,118.71,2009,7,0.306
1205,6,8.0,119.36,2009,7,0.336
1206,7,8.65,120.76,2009,7,0.29600000000000004
1207,8,9.17,122.14,2009,7,0.23600000000000002
1208,9,8.86,122.92,2009,7,0.201
1209,10,7.28,122.68,2009,7,0.29100000000000004
1210,11,5.11,120.74,2009,7,0.321
1211,12,3.35,115.23,2009,7,0.29100000000000004
1252,5,2.94,97.89,2009,7,0.47600000000000003
1253,6,2.84,98.2,2009,7,0.41600000000000004
1254,7,2.67,101.05,2009,7,0.401
1255,8,2.55,105.81,2009,7,0.28600000000000003
1256,9,2.63,110.44,2009,7,0.221
1257,10,2.99,113.0,2009,7,0.19
1258,11,3.49,115.52,2009,7,0.316
1259,12,3.97,120.33,2009,7,0.21100000000000002
1300,5,5.86,132.36,2009,7,0.47600000000000003
1301,6,5.94,129.97,2009,7,0.41600000000000004
1302,7,5.78,127.98,2009,7,0.401
1303,8,5.37,126.56,2009,7,0.28600000000000003
1304,9,4.7,126.07,2009,7,0.221
1305,10,3.81,126.92,2009,7,0.19
1306,11,2.93,127.56,2009,7,0.316
1307,12,2.34,123.25,2009,7,0.21100000000000002
1348,5,3.0,71.62,2009,7,0.065
1349,6,3.0,61.11,2009,7,0.08
1350,7,3.07,53.65,2009,7,0.04
1351,8,3.19,48.97,2009,7,0.06
1352,9,3.32,46.19,2009,7,0.135
1353,10,3.47,44.25,2009,7,0.115
1354,11,3.59,41.14,2009,7,0.12
1355,12,3.65,34.67,2009,7,0.1
1396,5,5.45,8.07,2009,7,0.065
1397,6,5.62,7.84,2009,7,0.08
1398,7,5.57,6.36,2009,7,0.04
1399,8,5.34,4.48,2009,7,0.06
1400,9,5.0,3.66,2009,7,0.135
1401,10,4.61,5.34,2009,7,0.115
1402,11,4.25,9.16,2009,7,0.12
1403,12,3.99,13.74,2009,7,0.1
1444,5,3.55,44.98,2009,7,0.35600000000000004
1445,6,3.65,59.21,2009,7,0.281
1446,7,3.76,69.88,2009,7,0.326
1447,8,3.82,79.15,2009,7,0.47100000000000003
1448,9,3.88,89.41,2009,7,0.431
1449,10,4.09,101.19,2009,7,0.165
1450,11,4.46,111.29,2009,7,0.256
1451,12,4.89,117.15,2009,7,0.261
1492,5,6.41,100.87,2009,7,0.35600000000000004
1493,6,6.5,95.26,2009,7,0.281
1494,7,6.13,91.42,2009,7,0.326
1495,8,5.37,89.08,2009,7,0.47100000000000003
1496,9,4.35,88.68,2009,7,0.431
