,hors,ws,wd,anno,mes,wp1
12,13,3.86,98.85,2009,7,0.0
13,14,3.56,95.62,2009,7,0.01
14,15,3.26,89.11,2009,7,0.0
15,16,3.15,80.78,2009,7,0.0
16,17,3.21,74.33,2009,7,0.0
17,18,3.28,72.75,2009,7,0.005
18,19,3.27,77.29,2009,7,0.0
19,20,3.18,86.2,2009,7,0.0
20,21,2.98,97.73,2009,7,0.0
21,22,2.66,111.41,2009,7,0.005
22,23,2.32,127.38,2009,7,0.015
23,24,2.04,143.67,2009,7,0.045
60,13,1.13,187.75,2009,7,0.0
61,14,1.46,209.04,2009,7,0.01
62,15,1.59,217.3,2009,7,0.01
63,16,1.27,216.69,2009,7,0.0
64,17,0.74,201.76,2009,7,0.0
65,18,0.56,159.25,2009,7,0.0
66,19,0.79,147.2,2009,7,0.0
67,20,1.02,159.1,2009,7,0.0
68,21,1.17,179.14,2009,7,0.015
69,22,1.27,206.32,2009,7,0.03
70,23,1.49,229.38,2009,7,0.01
71,24,1.63,238.87,2009,7,0.0
108,13,1.51,191.55,2009,7,0.0
109,14,1.67,171.57,2009,7,0.0
110,15,1.98,156.21,2009,7,0.0
111,16,2.26,148.97,2009,7,0.01
112,17,2.52,146.21,2009,7,0.01
113,18,2.9,145.54,2009,7,0.01
114,19,3.46,145.57,2009,7,0.01
115,20,4.02,145.73,2009,7,0.01
116,21,4.33,145.78,2009,7,0.08
117,22,4.21,145.51,2009,7,0.025
118,23,3.8,144.44,2009,7,0.08
119,24,3.27,141.68,2009,7,0.0
156,13,3.21,124.46,2009,7,0.12
157,14,2.77,122.46,2009,7,0.035
158,15,2.52,118.82,2009,7,0.05
159,16,2.63,113.11,2009,7,0.08
160,17,2.98,107.83,2009,7,0.065
161,18,3.35,104.05,2009,7,0.14
162,19,3.56,101.43,2009,7,0.08
163,20,3.69,99.91,2009,7,0.055
164,21,3.87,99.86,2009,7,0.025
165,22,4.19,101.53,2009,7,0.04
166,23,4.59,104.84,2009,7,0.1
167,24,4.99,109.74,2009,7,0.175
204,13,5.71,123.01,2009,7,0.13
205,14,5.96,126.57,2009,7,0.095
206,15,6.21,128.44,2009,7,0.095
207,16,6.52,128.0,2009,7,0.19
208,17,6.85,125.89,2009,7,0.221
209,18,7.14,122.88,2009,7,0.226
210,19,7.32,119.55,2009,7,0.301
211,20,7.41,116.63,2009,7,0.42100000000000004
212,21,7.38,114.89,2009,7,0.486
213,22,7.23,114.87,2009,7,0.47600000000000003
214,23,6.88,115.84,2009,7,0.47600000000000003
215,24,6.3,116.74,2009,7,0.201
252,13,6.07,116.17,2009,7,0.47600000000000003
253,14,5.17,115.93,2009,7,0.501
254,15,4.39,115.4,2009,7,0.662
255,16,3.95,114.82,2009,7,0.747
256,17,3.68,114.37,2009,7,0.622
257,18,3.38,114.04,2009,7,0.406
258,19,2.91,113.85,2009,7,0.19
259,20,2.52,114.54,2009,7,0.11
260,21,2.57,116.95,2009,7,0.075
261,22,3.27,119.97,2009,7,0.135
262,23,4.37,122.03,2009,7,0.11
263,24,5.47,123.41,2009,7,0.201
300,13,6.46,124.48,2009,7,0.386
301,14,6.75,126.69,2009,7,0.461
302,15,6.77,129.28,2009,7,0.451
303,16,6.56,131.93,2009,7,0.376
304,17,6.34,134.02,2009,7,0.266
305,18,6.32,134.46,2009,7,0.24100000000000002
306,19,6.63,132.75,2009,7,0.23600000000000002
307,20,6.87,130.4,2009,7,0.226
308,21,6.53,128.7,2009,7,0.271
309,22,5.3,128.19,2009,7,0.271
310,23,3.68,127.53,2009,7,0.29600000000000004
311,24,2.45,122.0,2009,7,0.521
348,13,2.77,108.06,2009,7,0.12
349,14,3.05,106.35,2009,7,0.195
350,15,3.43,105.85,2009,7,0.281
351,16,3.62,104.51,2009,7,0.221
352,17,3.65,102.25,2009,7,0.14
353,18,3.62,99.42,2009,7,0.21600000000000003
354,19,3.62,96.38,2009,7,0.281
355,20,3.62,92.91,2009,7,0.20600000000000002
356,21,3.59,88.48,2009,7,0.185
357,22,3.51,82.76,2009,7,0.24600000000000002
358,23,3.41,77.06,2009,7,0.266
359,24,3.29,73.44,2009,7,0.165
396,13,3.56,91.44,2009,7,0.025
397,14,3.72,100.35,2009,7,0.01
398,15,3.87,108.78,2009,7,0.0
399,16,3.87,115.06,2009,7,0.01
400,17,3.82,118.78,2009,7,0.035
401,18,3.89,118.86,2009,7,0.03
402,19,4.19,115.24,2009,7,0.02
403,20,4.53,110.89,2009,7,0.045
404,21,4.56,107.86,2009,7,0.07
